id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,closest_station,stop_id,station,line__001,line__002,ll__001,ll__002,closest_station_distance,closest_station_1km,closest_station_2km,closest_station_3km,closest_station_4km,closest_station_5km,closest_station_10km,x,y
19581567,Freedom Trail Condo,93353522,Thomas,,Charlestown,42.37428144598367,-71.06138475477512,Entire home/apt,250,2,57,2018-12-30,3.03,1,39,Community College Station,135,Community College Station,orange,,42.373588,-71.069777,0.6936930995651427,Community College Station,Community College Station,Community College Station,Community College Station,Community College Station,Community College Station,1295.0,342.0
19583820,1 BR with private bath parking available,106545415,Kevin,,South Boston,42.33456411221032,-71.03122121300653,Private room,125,1,62,2018-11-26,3.3,4,175,Andrew Station,112,Andrew Station,red,,42.330159,-71.057456,2.211453471324257,,,Andrew Station,Andrew Station,Andrew Station,Andrew Station,1398.0,1130.0
19584489,Renovated modern 1 bed beside State Houe,26988,Anne,,Downtown,42.35930422390381,-71.06227050089903,Entire home/apt,140,30,1,2017-08-21,0.06,10,364,Bowdoin Station,161,Bowdoin Station,blue,,42.36142,-71.062115,0.2356102649046967,Bowdoin Station,Bowdoin Station,Bowdoin Station,Bowdoin Station,Bowdoin Station,Bowdoin Station,1168.0,595.0
19587539,DECENT AND GREAT PLACE FOR YOUNG AND COOL  GUYS.,137682344,Patrick,,East Boston,42.36768100490867,-71.0374435731262,Private room,64,1,0,,,1,0,Maverick Station,157,Maverick Station,blue,,42.369189,-71.039627,0.2455464731732039,Maverick Station,Maverick Station,Maverick Station,Maverick Station,Maverick Station,Maverick Station,1487.0,530.0
19588926,Chic and bright 1 bedroom near Harvard University,30283594,Kara,,Jamaica Plain,42.32853832394419,-71.11086734295495,Entire home/apt,249,1,1,2018-06-24,0.14,151,237,Heath Street Station,227,Heath Street Station,green,,42.328666,-71.110524,0.0315942047206998,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,586.0,1222.0
19589363,-Modern & Plush 2BR + Pool & Gym near Bunker Hill!,30283594,Kara,,Jamaica Plain,42.328610755828,-71.11132046507413,Entire home/apt,175,3,4,2018-08-17,0.34,151,195,Heath Street Station,227,Heath Street Station,green,,42.328666,-71.110524,0.06576159250332267,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,586.0,1222.0
19590313,Upscale & Lavish 1-BR Apt with Great Amenities!,95459395,Bluebird,,Jamaica Plain,42.3287999990586,-71.11235931050231,Entire home/apt,150,2,0,,,153,237,Heath Street Station,227,Heath Street Station,green,,42.328666,-71.110524,0.15160691509889354,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,586.0,1222.0
19590968,"Just for you 2-BR, Heart of Boston, Pool & Gym +",95459395,Bluebird,,Jamaica Plain,42.328611767141396,-71.11224365750616,Entire home/apt,499,1,3,2018-09-05,0.24,153,233,Heath Street Station,227,Heath Street Station,green,,42.328666,-71.110524,0.14149436567401236,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,Heath Street Station,586.0,1222.0
19593368,COZY THEATRE DISTRICT STUDIO NEAR BOSTON COMMON,56359408,Billy,,Downtown,42.35199095108399,-71.0652093344532,Entire home/apt,160,1,31,2019-01-03,1.69,7,137,Boylston Street Station,168,Boylston Street Station,green,,42.352998,-71.064571,0.12365576751013573,Boylston Street Station,Boylston Street Station,Boylston Street Station,Boylston Street Station,Boylston Street Station,Boylston Street Station,1083.0,801.0
19593942,Awesome location; Great room and space!,115267785,Alexes,,Allston,42.35973713522721,-71.12748985150945,Private room,97,1,54,2019-01-01,2.95,2,116,Packards Corner Station,180,Packards Corner Station,green,,42.35197700000001,-71.125038,0.8860953450692471,Packards Corner Station,Packards Corner Station,Packards Corner Station,Packards Corner Station,Packards Corner Station,Packards Corner Station,440.0,572.0
19599031,Home away from home,118883513,Darryl,,Dorchester,42.285667149976334,-71.04027904938582,Private room,70,2,48,2018-10-28,2.62,1,365,North Quincy Station,114,North Quincy Station,red,,42.275376,-71.029561,1.4446371856917042,,North Quincy Station,North Quincy Station,North Quincy Station,North Quincy Station,North Quincy Station,1540.0,1500.0
19602358,"1 BR w/private bath, parking avail",106545415,Kevin,,South Boston,42.333371173113264,-71.0326468542272,Private room,125,1,73,2018-11-17,3.97,4,172,Andrew Station,112,Andrew Station,red,,42.330159,-71.057456,2.0703967197988646,,,Andrew Station,Andrew Station,Andrew Station,Andrew Station,1398.0,1130.0
19602772,Magnificent 3-BR close to Tufts Medical Center,95459395,Bluebird,,Chinatown,42.34886759689663,-71.06047461971283,Entire home/apt,220,11,1,2017-08-27,0.06,153,235,Tufts Medical Center Station,141,Tufts Medical Center Station,orange,,42.349615,-71.063941,0.2967387978501588,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,1065.0,995.0
19622535,IMPRESSIVE 3BR/1Bath+1PrvtParking byTheTstation!12,85678907,Jesús & Otto,,Allston,42.34681313679294,-71.13550488182148,Entire home/apt,139,2,59,2019-01-03,3.68,8,336,Griggs Street/Long Avenue Station,182,Griggs Street/Long Avenue Station,green,,42.348504,-71.134951,0.19344697100595595,Griggs Street/Long Avenue Station,Griggs Street/Long Avenue Station,Griggs Street/Long Avenue Station,Griggs Street/Long Avenue Station,Griggs Street/Long Avenue Station,Griggs Street/Long Avenue Station,346.0,572.0
19623990,CHARMING 3BR/1Bth+1PrivateParking byThe Tstation!8,85678907,Jesús & Otto,,Allston,42.34736198367689,-71.13528740366624,Entire home/apt,139,2,62,2019-01-01,3.81,8,340,Griggs Street/Long Avenue Station,182,Griggs Street/Long Avenue Station,green,,42.348504,-71.134951,0.12996090975754346,Griggs Street/Long Avenue Station,Griggs Street/Long Avenue Station,Griggs Street/Long Avenue Station,Griggs Street/Long Avenue Station,Griggs Street/Long Avenue Station,Griggs Street/Long Avenue Station,346.0,572.0
19625919,Charming Private Victorian Apartment,34956509,Esther,,Dorchester,42.287900338108095,-71.06385517642447,Entire home/apt,135,1,108,2018-12-16,5.81,1,224,Ashmont Station,122,Ashmont Station,red,,42.284647,-71.064494,0.3655516409288016,Ashmont Station,Ashmont Station,Ashmont Station,Ashmont Station,Ashmont Station,Ashmont Station,1315.0,1573.0
19650444,[2307-1] 1BR at One Greenway,25188,Seamless,,Chinatown,42.34882339872164,-71.06109869860437,Entire home/apt,264,30,0,,,62,364,Tufts Medical Center Station,141,Tufts Medical Center Station,orange,,42.349615,-71.063941,0.2496120702678721,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,Tufts Medical Center Station,1065.0,995.0
