id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30505229,Intimate Studio in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.34328024861933,-71.10157759597483,Entire home/apt,131,2,2,2019-01-06,2,58,325
30505230,Sunny Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35201246649567,-71.06273426465297,Entire home/apt,137,2,1,2018-12-30,1,58,324
30505254,Spacious 2BR in Lower Allston by Sonder,224829568,Sonder (Boston),,Allston,42.3631840561474,-71.13107531655707,Entire home/apt,160,2,0,,,58,328
30505272,Distinct 1BR in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.344281288155436,-71.10248104155382,Entire home/apt,148,2,0,,,58,310
30505275,Charming 1BR in Brighton by Sonder,224829568,Sonder (Boston),,Brighton,42.33974683368734,-71.15267091286859,Entire home/apt,120,2,0,,,58,328
30505289,Deluxe 3BR in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.34442444032352,-71.10080685282514,Entire home/apt,249,2,0,,,58,262
30505296,Lively 1BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Chinatown,42.35131792652928,-71.06215576493469,Entire home/apt,131,2,0,,,58,343
30505328,Intimate 2BR in South End by Sonder,224829568,Sonder (Boston),,South End,42.34546613160698,-71.0646487564924,Entire home/apt,192,2,0,,,58,322
30505336,Unique 1BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35115471043845,-71.06315641243616,Entire home/apt,131,2,0,,,58,335
30505408,Sunny 1BR in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.34304053472128,-71.10236453485848,Entire home/apt,151,2,0,,,58,300
30505411,Airy Studio in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35197414970052,-71.06362637351987,Entire home/apt,132,2,1,2018-12-26,1,58,340
30505442,Desirable 2BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Chinatown,42.35158325964826,-71.06276959570572,Entire home/apt,202,2,1,2018-12-26,1,58,343
30505480,Sophisticated 2BR in Lower Allston by Sonder,224829568,Sonder (Boston),,Allston,42.36470427335387,-71.13126758830899,Entire home/apt,137,2,0,,,58,290
30505482,Bright 2BR in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.34472792136372,-71.10173193950031,Entire home/apt,185,2,0,,,58,290
30505542,Contemporary Studio in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.34460232440824,-71.10082490168854,Entire home/apt,128,2,0,,,58,306
30506411,Central 2BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35150390240508,-71.06284836322567,Entire home/apt,214,2,0,,,58,327
30506427,Colorful 2BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.3511859301281,-71.06333646284705,Entire home/apt,231,2,0,,,58,269
30506432,Beautiful 1BR in Fenway by Sonder,224829568,Sonder (Boston),,Fenway,42.34288359863869,-71.10165604909844,Entire home/apt,151,2,0,,,58,298
30506534,Expansive 1BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Chinatown,42.35125787221912,-71.06159653457003,Entire home/apt,143,2,0,,,58,323
30506595,Grand 2BR in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Downtown,42.35164964042196,-71.06285929107327,Entire home/apt,214,2,0,,,58,326
30506611,Charming 2BR in Brighton by Sonder,224829568,Sonder (Boston),,Brighton,42.33907962232487,-71.15465959738536,Entire home/apt,185,2,0,,,58,314
30506617,Lovely Loft in Downtown Crossing by Sonder,224829568,Sonder (Boston),,Chinatown,42.35195105961829,-71.0614607800131,Entire home/apt,132,2,1,2018-12-22,1,58,311
